BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,3557,Grade6,Grade6,MATH,MATH,3,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3314,Grade8,Grade8,MATH,MATH,1,,D,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3447,Grade6,Grade6,MATH,MATH,3,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3439,Grade7,Grade7,MATH,MATH,1,,D,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3320,Grade5,Grade5,MATH,MATH,3,,D,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3200,Grade5,Grade5,MATH,MATH,1,,E,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3449,Grade5,Grade5,MATH,MATH,1,,G,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3401,Grade7,Grade7,MATH,MATH,4,,F,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3204,Grade6,Grade6,MATH,MATH,1,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3322,Grade4,Grade4,MATH,MATH,3,,B,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3202,High,High,MATH,MATH,1,,L,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3332,Grade6,Grade6,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3206,Grade6,Grade6,MATH,MATH,1,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3324,Grade3,Grade3,MATH,MATH,3,,D,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3451,Grade4,Grade4,MATH,MATH,4,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3334,High,High,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3571,Grade4,Grade4,MATH,MATH,2,,C,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3208,Grade8,Grade8,MATH,MATH,1,,C,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3563,Grade7,Grade7,MATH,MATH,3,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3453,High,High,MATH,MATH,3,,A,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3326,Grade6,Grade6,MATH,MATH,3,,F,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3565,Grade6,Grade6,MATH,MATH,3,,B,,SA,SA,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3443,Grade4,Grade4,MATH,MATH,3,,A,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3455,High,High,MATH,MATH,3,,E,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3445,Grade8,Grade8,MATH,MATH,3,,A,,GI,GI,True,True,,,2,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3567,High,High,MATH,MATH,1,,O,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3328,Grade8,Grade8,MATH,MATH,3,,D,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3569,Grade8,Grade8,MATH,MATH,1,,J,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3573,Grade6,Grade6,MATH,MATH,1,,F,,MS,MS,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3577,Grade8,Grade8,MATH,MATH,3,,E,,MC,MC,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3575,Grade8,Grade8,MATH,MATH,3,,C,,MS,MS,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3214,Grade5,Grade5,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3469,Grade4,Grade4,MATH,MATH,1,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3336,Grade6,Grade6,MATH,MATH,2,,C,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3348,High,High,MATH,MATH,1,,J,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3216,Grade4,Grade4,MATH,MATH,4,,D,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3579,Grade3,Grade3,MATH,MATH,1,,B,,MI,MI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3338,Grade5,Grade5,MATH,MATH,3,,C,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3581,Grade7,Grade7,MATH,MATH,1,,I,,MI,MI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3585,Grade6,Grade6,MATH,MATH,1,,F,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3340,Grade3,Grade3,MATH,MATH,3,,F,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3459,Grade6,Grade6,MATH,MATH,1,,E,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3457,Grade7,Grade7,MATH,MATH,3,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3589,Grade7,Grade7,MATH,MATH,1,,C,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3342,High,High,MATH,MATH,3,,B,,SA,SA,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3461,Grade7,Grade7,MATH,MATH,2,,C,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3210,Grade3,Grade3,MATH,MATH,1,,A,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3583,Grade7,Grade7,MATH,MATH,3,,A,,MS,MS,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3587,Grade8,Grade8,MATH,MATH,1,,F,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3463,Grade5,Grade5,MATH,MATH,1,,I,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3218,Grade5,Grade5,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3344,Grade4,Grade4,MATH,MATH,1,,F,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3220,High,High,MATH,MATH,1,,P,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
